formula,BG,fidelity,fidelity_name,fidelity_id
As8Cu4Cl4S6,1.777138,0,pbe,0
Li2CuLa,0.0,0,pbe,0
Tl4Zr2S6,0.796169,0,pbe,0
B2O6CaU,0.0343,0,pbe,0
S2TaHg,0.0,0,pbe,0
KSrTl2,0.0,0,pbe,0
Pm2AgSn,0.0,0,pbe,0
Cd2Cr4S8,0.920657,0,pbe,0
K2LaP2S7,2.3832,0,pbe,0
Be2ScRu2,0.0,0,pbe,0
OMn2Br2,0.0,0,pbe,0
OTi2Zr,0.0,0,pbe,0
Ba12Cl5F19,5.9802,0,pbe,0
SmHg2Tl,0.0,0,pbe,0
CaMg3SiN4,2.4021,0,pbe,0
YSnRh2,0.0,0,pbe,0
GdPPt,0.0,0,pbe,0
MgH2Cl2O,5.370699999999999,0,pbe,0
Hf3(Cu2Si)2,0.0,0,pbe,0
U3TlF13,0.1153,0,pbe,0
MnAsZr,0.0,0,pbe,0
CGd3Tl,0.0,0,pbe,0
La2U3O11,0.0,0,pbe,0
Cs2CuBrCl3,0.0,0,pbe,0
AsS7IF6,1.8307,0,pbe,0
Li(FeP)2,0.0,0,pbe,0
Ag4Au5,0.0,0,pbe,0
Ba3La2Ti2Nb2O15,2.3876,0,pbe,0
SiRh2Tm,0.0,0,pbe,0
Ta2(Ni7B2)3,0.0,0,pbe,0
I8BaPr2,2.0772,0,pbe,0
Ti6PtBi2,0.0,0,pbe,0
Ga2TbPt2,0.0,0,pbe,0
Pd2AuPu,0.0,0,pbe,0
CN2ClLa,3.3209,0,pbe,0
O6CrSr2Os,0.2364,0,pbe,0
SAg2,0.3785,0,pbe,0
Er2Pt2Pb,0.0,0,pbe,0
Cr2TeSe,0.0,0,pbe,0
Mn(CrSe2)2,0.0,0,pbe,0
BaMg6Sb,0.0,0,pbe,0
NaCaGa3(SO4)6,3.1037,0,pbe,0
CuBr3Cs,0.0,0,pbe,0
ZnTm6Bi2,0.0,0,pbe,0
KThCuS3,2.0422,0,pbe,0
O4AsSm,3.8024,0,pbe,0
Ca3Cu2(ClO2)2,0.0,0,pbe,0
Si3TiPu,0.0,0,pbe,0
Nb5OF14,0.0,0,pbe,0
CdSm2Pt2,0.0,0,pbe,0
ThAgHg2,0.0,0,pbe,0
O6FePt3,0.0,0,pbe,0
Al2NdAu2,0.0,0,pbe,0
BaCaDyBiO6,1.7884000000000002,0,pbe,0
Sr3Cd2,0.0,0,pbe,0
Na4O16B4H16,5.227104000000001,0,pbe,0
Pr(Ga4Co)2,0.0,0,pbe,0
Ba3La5Tl2(Cu2O9)2,0.0,0,pbe,0
Na5Ga2,0.0,0,pbe,0
ZnEuAu2,0.0,0,pbe,0
Br3SnLa3,0.0,0,pbe,0
Y8Te12,0.5464800000000001,0,pbe,0
VSiTc2,0.0,0,pbe,0
Mn8Ge4S16,1.373058,0,pbe,0
Nd2O5,2.8438,0,pbe,0
RbDyO2,3.602,0,pbe,0
PmYAl2,0.0,0,pbe,0
BrBi,0.3992,0,pbe,0
