formula,bg,formation_energy,mp-id,fidelity,bg_category
Co2PdTa2,0.0,-0.0403512,,3,3.0
MgSnLu,0.0,-0.0325943,,3,3.0
CuTe2Lu,0.1978,-0.037165,,3,3.0
AlAuPa,0.0,-0.059386,,3,3.0
PRbPt,0.0,-0.0342823,,3,3.0
Si2TiNi2,0.0,-0.0143445,,3,3.0
ClAg2,0.7316,-0.023858,,3,3.0
O6MgGeSm2,5.5859,-0.0181475,,3,3.0
P4Sc3Cu2Zn2,0.0,-0.0137269,,3,3.0
Y2CdSn2,0.0,-0.0323166,,3,3.0
Y2RhHg,0.0,-0.0402046,,3,3.0
B2Ru3Hf,0.0,-0.0308515,,3,3.0
NiY,0.0,-0.0224465,,3,3.0
BCFeSm,0.0,-0.0203516,,3,3.0
PmPb,0.0,-0.0605565,,3,3.0
OPCdTh,1.1085,-0.0377025,,3,3.0
Ga7Ag2Tb3,0.0,-0.026995,,3,3.0
Sc2RhTl,0.0,-0.0344521,,3,3.0
Cu2Nb3,0.0,-0.0259222,,3,3.0
Al2ZnZr6,0.0,-0.0239851,,3,3.0
AlCo2Lu2,0.0,-0.0310106,,3,3.0
